# rej_sigma = 5
# Rejection = 0.0031282355705565413
Epoch,T_pre,T_pre_l,Residual,Top,Down
0,2456054.857126648,2456054.8573461557,-0.0002195076085627079,0.0029087279619938334,-0.003347743179119249
1,2456057.9249819014,2456057.925198495,-0.00021659350022673607,0.0029116420703298052,-0.0033448290707832774
2,2456060.9928371506,2456060.993050834,-0.00021368358284235,0.0029145519877141913,-0.0033419191533988913
3,2456064.060692396,2456064.0609031734,-0.0002107773907482624,0.002917458179808279,-0.0033390129613048037
4,2456067.1285476373,2456067.1287555126,-0.00020787538960576057,0.0029203601809507807,-0.003336110960162302
5,2456070.196402875,2456070.196607852,-0.0002049771137535572,0.002923258456802984,-0.0033332126843100985
6,2456073.264258108,2456073.264460191,-0.0002020830288529396,0.0029261525417036017,-0.003330318599409481
7,2456076.3321133377,2456076.3323125304,-0.00019919266924262047,0.002929042901313921,-0.0033274282397991618
8,2456079.3999685636,2456079.4001648696,-0.0001963060349225998,0.0029319295356339415,-0.003324541605479141
9,2456082.4678237853,2456082.468017209,-0.0001934235915541649,0.0029348119790023764,-0.003321659162110706
10,2456085.535679003,2456085.535869548,-0.00019054487347602844,0.002937690697080513,-0.0033187804440325697
11,2456088.603534217,2456088.6037218873,-0.00018767034634947777,0.0029405652242070635,-0.003315905916906019
12,2456091.671389427,2456091.6715742266,-0.00018479954451322556,0.0029434360260433157,-0.003313035115069767
13,2456094.739244633,2456094.739426566,-0.0001819329336285591,0.002946302636927982,-0.0033101685041851004
14,2456097.807099835,2456097.807278905,-0.00017907004803419113,0.00294916552252235,-0.0033073056185907324
15,2456100.874955033,2456100.8751312443,-0.00017621135339140892,0.0029520242171651324,-0.00330444692394795
16,2456103.942810227,2456103.9429835835,-0.00017335638403892517,0.002954879186517616,-0.0033015919545954665
17,2456107.0106654176,2456107.010835923,-0.00017050513997673988,0.0029577304305798014,-0.003298740710533281
18,2456110.078520604,2456110.078688262,-0.00016765808686614037,0.002960577483690401,-0.0032958936574226817
19,2456113.1463757865,2456113.1465406013,-0.0001648147590458393,0.002963420811510702,-0.0032930503296023806
20,2456116.214230965,2456116.2143929405,-0.00016197562217712402,0.0029662599483794173,-0.0032902111927336653
21,2456119.2820861395,2456119.2822452798,-0.0001591402105987072,0.002969095359957834,-0.0032873757811552485
22,2456122.34994131,2456122.350097619,-0.00015630898997187614,0.002971926580584665,-0.0032845445605284174
23,2456125.4177964767,2456125.4179499582,-0.00015348149463534355,0.0029747540759211977,-0.003281717065191885
24,2456128.4856516393,2456128.4858022975,-0.00015065819025039673,0.0029775773803061446,-0.003278893760806938
25,2456131.553506798,2456131.5536546367,-0.00014783861115574837,0.002980396959400793,-0.0032760741817122897
26,2456134.621361953,2456134.621506976,-0.00014502275735139847,0.002983212813205143,-0.0032732583279079398
