# rej_sigma = 5
# Rejection = 0.0006729171361525802
Epoch,T_pre,T_pre_l,Residual,Top,Down
98,2457075.1169854235,2457075.117324195,-0.00033877138048410416,0.00033414575566847603,-0.0010116885166366843
99,2457080.8384777145,2457080.8388120756,-0.00033436110243201256,0.00033855603372056763,-0.0010072782385845927
100,2457086.559969991,2457086.5602999562,-0.0003299652598798275,0.0003429518762727527,-0.0010028823960324077
101,2457092.281462253,2457092.281787837,-0.000325583852827549,0.0003473332833250312,-0.0009985009889801292
102,2457098.0029545007,2457098.0032757176,-0.000321216881275177,0.0003517002548774032,-0.0009941340174277572
103,2457103.724446734,2457103.7247635983,-0.00031686434522271156,0.0003560527909298686,-0.0009897814813752917
104,2457109.4459389527,2457109.446251479,-0.00031252624467015266,0.0003603908914824275,-0.0009854433808227328
105,2457115.167431157,2457115.1677393597,-0.0003082025796175003,0.0003647145565350799,-0.0009811197157700805
106,2457120.888923347,2457120.8892272403,-0.0003038933500647545,0.0003690237860878257,-0.0009768104862173347
107,2457126.6104155225,2457126.610715121,-0.0002995985560119152,0.000373318580140665,-0.0009725156921644954
108,2457132.3319076835,2457132.3322030017,-0.00029531819745898247,0.0003775989386935977,-0.0009682353336115627
109,2457138.05339983,2457138.0536908824,-0.00029105227440595627,0.0003818648617466239,-0.0009639694105585365
110,2457143.7748919623,2457143.775178763,-0.0002868007868528366,0.0003861163492997436,-0.0009597179230054168
111,2457149.49638408,2457149.496666644,-0.0002825637347996235,0.0003903534013529567,-0.0009554808709522037
112,2457155.2178761833,2457155.2181545245,-0.0002783411182463169,0.0003945760179062633,-0.0009512582543988971
113,2457160.939368272,2457160.939642405,-0.00027413293719291687,0.0003987841989596633,-0.0009470500733454971
114,2457166.6608603466,2457166.661130286,-0.00026993919163942337,0.0004029779445131568,-0.0009428563277920036
115,2457172.3823524066,2457172.3826181665,-0.0002657598815858364,0.0004071572545667438,-0.0009386770177384166
116,2457178.103844452,2457178.104106047,-0.000261595007032156,0.0004113221291204242,-0.0009345121431847362
117,2457183.8253364833,2457183.825593928,-0.0002574445679783821,0.0004154725681741981,-0.0009303617041309623
118,2457189.5468285,2457189.5470818086,-0.00025330856442451477,0.0004196085717280654,-0.000926225700577095
119,2457195.2683205022,2457195.2685696892,-0.00024918699637055397,0.0004237301397820262,-0.0009221041325231342
120,2457200.98981249,2457200.99005757,-0.0002450798638164997,0.0004278372723360805,-0.0009179969999690799
121,2457206.7113044634,2457206.7115454506,-0.000240987166762352,0.0004319299693902282,-0.0009139043029149322
122,2457212.4327964224,2457212.4330333313,-0.0002369089052081108,0.0004360082309444694,-0.000909826041360691
123,2457218.154288367,2457218.154521212,-0.00023284507915377617,0.000440072056998804,-0.0009057622153063564
124,2457223.875780297,2457223.8760090927,-0.00022879568859934807,0.0004441214475532321,-0.0009017128247519283
125,2457229.597272212,2457229.5974969734,-0.00022476119920611382,0.00044815593694646637,-0.000897678335358694
126,2457235.318764113,2457235.318984854,-0.0002207411453127861,0.0004521759908397941,-0.0008936582814653663
127,2457241.040255999,2457241.0404727347,-0.00021673552691936493,0.00045618160923321526,-0.0008896526630719451
128,2457246.761747871,2457246.7619606154,-0.0002127443440258503,0.0004601727921267299,-0.0008856614801784305
129,2457252.4832397285,2457252.483448496,-0.0002087675966322422,0.000464149539520338,-0.0008816847327848224
130,2457258.2047315715,2457258.204936377,-0.00020480528473854065,0.00046811185141403954,-0.0008777224208911208
131,2457263.9262234,2457263.9264242575,-0.00020085740834474564,0.00047205972780783455,-0.0008737745444973258
132,2457269.647715214,2457269.647912138,-0.00019692396745085716,0.000475993168701723,-0.0008698411036034373
133,2457275.369207014,2457275.369400019,-0.00019300496205687523,0.00047991217409570496,-0.0008659220982094554
134,2457281.090698799,2457281.0908878995,-0.00018910039216279984,0.00048381674398978035,-0.00086201752831538
135,2457286.81219057,2457286.81237578,-0.00018521025776863098,0.0004877068783839492,-0.0008581273939212112
136,2457292.5336823263,2457292.533863661,-0.00018133455887436867,0.0004915825772782115,-0.0008542516950269489
137,2457298.2551740683,2457298.2553515416,-0.0001774732954800129,0.0004954438406725673,-0.0008503904316325931
138,2457303.976665796,2457303.9768394222,-0.00017362646758556366,0.0004992906685670165,-0.0008465436037381438
139,2457309.698157509,2457309.698327303,-0.00016979407519102097,0.0005031230609615592,-0.0008427112113436012
140,2457315.4196492075,2457315.4198151836,-0.0001659761182963848,0.0005069410178561954,-0.000838893254448965
141,2457321.1411408917,2457321.1413030643,-0.0001621725969016552,0.000510744539250925,-0.0008350897330542354
142,2457326.8626325615,2457326.862790945,-0.00015838351100683212,0.0005145336251457481,-0.0008313006471594123
143,2457332.584124217,2457332.5842788257,-0.0001546088606119156,0.0005183082755406646,-0.0008275259967644958
144,2457338.3056158577,2457338.3057667064,-0.0001508486457169056,0.0005220684904356746,-0.0008237657818694858
145,2457344.027107484,2457344.027254587,-0.00014710286632180214,0.000525814269830778,-0.0008200200024743823
146,2457349.748599096,2457349.7487424677,-0.00014337152242660522,0.000529545613725975,-0.0008162886585791854
147,2457355.470090694,2457355.4702303484,-0.00013965461403131485,0.0005332625221212653,-0.000812571750183895
148,2457361.191582277,2457361.191718229,-0.00013595214113593102,0.0005369649950166492,-0.0008088692772885112
149,2457366.9130738457,2457366.91320611,-0.00013226410374045372,0.0005406530324121265,-0.0008051812398930339
150,2457372.6345654,2457372.6346939905,-0.00012859050184488297,0.0005443266343076972,-0.0008015076379974632
151,2457378.35605694,2457378.356181871,-0.00012493133544921875,0.0005479858007033614,-0.0007978484716017989
152,2457384.077548465,2457384.077669752,-0.00012128660455346107,0.0005516305315991191,-0.0007942037407060413
153,2457389.799039976,2457389.7991576325,-0.00011765630915760994,0.0005552608269949702,-0.0007905734453101901
154,2457395.5205314728,2457395.520645513,-0.00011404044926166534,0.0005588766868909148,-0.0007869575854142455
155,2457401.242022955,2457401.242133394,-0.00011043902486562729,0.0005624781112869529,-0.0007833561610182075
156,2457406.9635144225,2457406.9636212746,-0.00010685203596949577,0.0005660651001830844,-0.000779769172122076
157,2457412.685005876,2457412.6851091553,-0.0001032794825732708,0.0005696376535793094,-0.000776196618725851
158,2457418.4064973146,2457418.406597036,-9.972136467695236e-05,0.0005731957714756278,-0.0007726385008295325
159,2457424.127988739,2457424.1280849166,-9.617768228054047e-05,0.0005767394538720397,-0.0007690948184331207
160,2457429.849480149,2457429.8495727973,-9.264843538403511e-05,0.0005802687007685451,-0.0007655655715366153
161,2457435.5709715444,2457435.571060678,-8.91336239874363e-05,0.0005837835121651439,-0.0007620507601400165
162,2457441.2924629254,2457441.2925485587,-8.563324809074402e-05,0.0005872838880618362,-0.0007585503842433242
163,2457447.013954292,2457447.0140364394,-8.214730769395828e-05,0.0005907698284586219,-0.0007550644438465385
164,2457452.7354456442,2457452.73552432,-7.867580279707909e-05,0.0005942413333555011,-0.0007515929389496593
165,2457458.456936982,2457458.4570122007,-7.521873340010643e-05,0.0005976984027524738,-0.0007481358695526866
166,2457464.1784283053,2457464.1785000814,-7.177609950304031e-05,0.0006011410366495399,-0.0007446932356556205
167,2457469.899919614,2457469.899987962,-6.834790110588074e-05,0.0006045692350466994,-0.0007412650372584609
168,2457475.6214109086,2457475.621475843,-6.49341382086277e-05,0.0006079829979439525,-0.0007378512743612079
169,2457481.3429021887,2457481.3429637235,-6.15348108112812e-05,0.000611382325341299,-0.0007344519469638614
170,2457487.064393454,2457487.064451604,-5.814991891384125e-05,0.0006147672172387389,-0.0007310670550664214
171,2457492.7858847054,2457492.785939485,-5.477946251630783e-05,0.0006181376736362724,-0.000727696598668888
